flight_id,bookings,no_shows,no_show_rate
LA1000,143,8,0.055944055944055944
LA1001,170,15,0.08823529411764706
LA1002,166,13,0.0783132530120482
LA1003,157,11,0.07006369426751592
LA1004,157,11,0.07006369426751592
LA1005,174,15,0.08620689655172414
LA1006,143,10,0.06993006993006994
LA1007,167,9,0.05389221556886228
LA1008,148,8,0.05405405405405406
LA1009,143,17,0.11888111888111888
LA1010,161,18,0.11180124223602485
LA1011,179,16,0.0893854748603352
LA1012,169,11,0.0650887573964497
LA1013,170,21,0.12352941176470589
LA1014,168,16,0.09523809523809523
LA1015,171,16,0.0935672514619883
LA1016,160,12,0.075
LA1017,145,10,0.06896551724137931
LA1018,173,9,0.05202312138728324
LA1019,158,17,0.10759493670886076
LA1020,160,12,0.075
LA1021,154,9,0.05844155844155844
LA1022,147,10,0.06802721088435375
LA1023,177,15,0.0847457627118644
LA1024,171,10,0.05847953216374269
LA1025,165,17,0.10303030303030303
LA1026,156,15,0.09615384615384616
LA1027,172,16,0.09302325581395349
LA1028,161,12,0.07453416149068323
LA1029,157,14,0.08917197452229299
LA1030,158,13,0.08227848101265822
LA1031,149,13,0.087248322147651
LA1032,143,7,0.04895104895104895
LA1033,162,12,0.07407407407407407
LA1034,175,8,0.045714285714285714
LA1035,142,11,0.07746478873239436
LA1036,174,12,0.06896551724137931
LA1037,173,10,0.057803468208092484
LA1038,151,8,0.052980132450331126
LA1039,165,14,0.08484848484848485
LA1040,146,9,0.06164383561643835
LA1041,170,19,0.11176470588235295
LA1042,168,14,0.08333333333333333
LA1043,154,11,0.07142857142857142
LA1044,142,12,0.08450704225352113
LA1045,178,7,0.03932584269662921
LA1046,157,19,0.12101910828025478
LA1047,175,14,0.08
LA1048,167,16,0.09580838323353294
LA1049,171,9,0.05263157894736842
LA1050,170,13,0.07647058823529412
LA1051,147,12,0.08163265306122448
LA1052,154,18,0.11688311688311688
LA1053,158,13,0.08227848101265822
LA1054,159,12,0.07547169811320754
LA1055,141,9,0.06382978723404255
LA1056,161,11,0.06832298136645963
LA1057,146,12,0.0821917808219178
LA1058,169,13,0.07692307692307693
LA1059,167,7,0.041916167664670656
LA1060,176,17,0.09659090909090909
LA1061,169,18,0.10650887573964497
LA1062,154,9,0.05844155844155844
LA1063,178,15,0.08426966292134831
LA1064,156,8,0.05128205128205128
LA1065,153,14,0.0915032679738562
